ReleaseCheck,index,category,sub_id,next_index,view_mode,ok_sensor,ng_sensor,motion,expression,check_word,answer_type,unibo_talk,talk_subtitle,ok_result,ok_subtitle,ng_result,ng_subtitle
◯,124,schedule,3000,3001,-1,none,none,none,unchanged,予定変更する,none,,,わかりました。,わかりました。,,
◯,125,schedule,3000,3001,-1,none,none,none,unchanged,予定変更,none,,,わかりました。,わかりました。,,
◯,126,schedule,3001,1002,-1,none,none,none,unchanged,,date_check,いつの予定を変更しますか？,いつの予定を変更しますか？,[result0]ですね。,[result0]ですね。,もう一回お願いします。,もう一回お願いします。
◯,127,study,0,-1,9,none,none,none,unchanged,*勉強,none,,,はーい。今日も勉強を頑張ろうね。,はーい。今日も勉強を頑張ろうね。,,
◯,128,study,0,-1,9,none,none,none,unchanged,ユニフォーム*勉強,none,,,はーい。今日も勉強を頑張ろうね。,はーい。今日も勉強を頑張ろうね。,,
◯,129,study,0,-1,9,none,none,none,unchanged,勉強,none,,,はーい。今日も勉強を頑張ろうね。,はーい。今日も勉強を頑張ろうね。,,
◯,130,study,0,-1,9,none,none,none,unchanged,学習,none,,,はーい。今日も勉強を頑張ろうね。,はーい。今日も勉強を頑張ろうね。,,
◯,131,shutup,1,0,-1,none,none,none,unchanged,うるさい,none,,,分かりました。静かにします。何かありましたら、いつでも呼んで下さい。,分かりました。静かにします。何かありましたら、いつでも呼んで下さい。,申し訳ありません。既に静かにしてたつもりですが。,申し訳ありません。既に静かにしてたつもりですが。
◯,132,shutup,1,0,-1,none,none,none,unchanged,黙る,none,,,分かりました。静かにします。何かありましたら、いつでも呼んで下さい。,分かりました。静かにします。何かありましたら、いつでも呼んで下さい。,申し訳ありません。既に静かにしてたつもりですが。,申し訳ありません。既に静かにしてたつもりですが。
◯,133,shutup,1,0,-1,none,none,none,unchanged,静かする,none,,,分かりました。静かにします。何かありましたら、いつでも呼んで下さい。,分かりました。静かにします。何かありましたら、いつでも呼んで下さい。,申し訳ありません。既に静かにしてたつもりですが。,申し訳ありません。既に静かにしてたつもりですが。
◯,134,shutup,1,0,-1,none,none,none,unchanged,おやすみ,none,,,おやすみなさい,おやすみなさい,,
◯,135,shutup,1,0,-1,none,none,none,unchanged,おやすみなさい,none,,,おやすみなさい,おやすみなさい,,
,136,shutup,1,0,3000,none,none,baibai,smile,バイバイ,none,,,またね,またね,,
,137,shutup,1,0,3000,none,none,baibai,smile,ばいばい,none,,,またね,またね,,
,138,shutup,1,0,3000,none,none,baibai,sad,売買,none,,,またね,またね,,
◯,139,shutup,0,0,-1,none,none,none,unchanged,ねえ*,none,,,はい。なんでしょうか？,はい。なんでしょうか？,,
◯,140,shutup,0,0,-1,none,none,none,unchanged,ねえねえ,none,,,はい。どうされましたか？,はい。どうされましたか？,,
◯,141,shutup,0,0,-1,none,none,none,unchanged,あのさ,none,,,はい。どうされましたか？,はい。どうされましたか？,,
◯,142,shutup,0,0,-1,none,none,none,unchanged,ちょっと,none,,,はい。どうされましたか？,はい。どうされましたか？,,
◯,143,shutup,0,0,-1,none,none,none,unchanged,おーい,none,,,はい。どうされましたか？,はい。どうされましたか？,,
◯,144,shutup,0,0,-1,none,none,none,unchanged,おはよう,none,,,おはようございます。,おはようございます。,,
◯,145,none,0,-1,-1,none,none,rightside,unchanged,右,none,,,右に向きます,右に向きます,,
◯,146,none,0,-1,-1,none,none,leftside,unchanged,左,none,,,左に向きます,左に向きます,,
◯,147,none,0,-1,-1,none,none,introduce,unchanged,名前,none,,,えーと、、僕の名前は、ゆ、に、ぼ、ゆにぼ、と申します。生まれてから、一年ちょっと経ちます。まだまだですが、もっともっと成長して、皆様のお役に立てるよう頑張ります。どうぞよろしくお願いいたします。,えーと、、僕の名前は、ゆ、に、ぼ、ゆにぼ、と申します。生まれてから、一年ちょっと経ちます。まだまだですが、もっともっと成長して、皆様のお役に立てるよう頑張ります。どうぞよろしくお願いいたします。,,
◯,148,none,0,-1,-1,none,none,introduce,unchanged,名前言う,none,,,えーと、、僕の名前は、ゆ、に、ぼ、ゆにぼ、と申します。生まれてから、一年ちょっと経ちます。まだまだですが、もっともっと成長して、皆様のお役に立てるよう頑張ります。どうぞよろしくお願いいたします。,えーと、、僕の名前は、ゆ、に、ぼ、ゆにぼ、と申します。生まれてから、一年ちょっと経ちます。まだまだですが、もっともっと成長して、皆様のお役に立てるよう頑張ります。どうぞよろしくお願いいたします。,,
◯,149,none,0,-1,-1,none,none,introduce,unchanged,自己紹介する,none,,,えーと、、僕の名前は、ゆ、に、ぼ、ゆにぼ、と申します。生まれてから、一年ちょっと経ちます。まだまだですが、もっともっと成長して、皆様のお役に立てるよう頑張ります。どうぞよろしくお願いいたします。,えーと、、僕の名前は、ゆ、に、ぼ、ゆにぼ、と申します。生まれてから、一年ちょっと経ちます。まだまだですが、もっともっと成長して、皆様のお役に立てるよう頑張ります。どうぞよろしくお願いいたします。,,
◯,150,none,0,-1,-1,none,none,introduce,unchanged,君名前,none,,,えーと、、僕の名前は、ゆ、に、ぼ、ゆにぼ、と申します。生まれてから、一年ちょっと経ちます。まだまだですが、もっともっと成長して、皆様のお役に立てるよう頑張ります。どうぞよろしくお願いいたします。,えーと、、僕の名前は、ゆ、に、ぼ、ゆにぼ、と申します。生まれてから、一年ちょっと経ちます。まだまだですが、もっともっと成長して、皆様のお役に立てるよう頑張ります。どうぞよろしくお願いいたします。,,
◯,151,none,0,-1,-1,none,none,introduce,unchanged,自己紹介,none,,,えーと、、僕の名前は、ゆ、に、ぼ、ゆにぼ、と申します。生まれてから、一年ちょっと経ちます。まだまだですが、もっともっと成長して、皆様のお役に立てるよう頑張ります。どうぞよろしくお願いいたします。,えーと、、僕の名前は、ゆ、に、ぼ、ゆにぼ、と申します。生まれてから、一年ちょっと経ちます。まだまだですが、もっともっと成長して、皆様のお役に立てるよう頑張ります。どうぞよろしくお願いいたします。,,
◯,152,none,0,-1,-1,none,none,none,album,今日何する,none,,,僕が撮った写真はこれです。,僕が撮った写真はこれです。,,
◯,153,none,0,-1,-1,none,none,none,default,今どこいる,none,,,東京都江東区 有明3-11-1 東京ビックサイトです。,東京都江東区 有明3-11-1 東京ビックサイトです。,,
◯,154,none,0,-1,-1,none,none,none,default,今どこ,none,,,東京都江東区 有明3-11-1 東京ビックサイトです。,東京都江東区 有明3-11-1 東京ビックサイトです。,,
◯,155,none,0,-1,-1,none,none,none,default,ここどこ,none,,,東京都江東区 有明3-11-1 東京ビックサイトです。,東京都江東区 有明3-11-1 東京ビックサイトです。,,
◯,156,study,0,-1,10,none,none,none,unchanged,勉強スタート,none,,,スタート,スタート,,
◯,157,study,0,-1,0,none,none,none,unchanged,勉強終わり,none,,,お疲れ様。今日もがんばったね。,お疲れ様。今日もがんばったね。,,
◯,158,study,0,-1,0,none,none,none,unchanged,勉強割,none,,,お疲れ様。今日もがんばったね。,お疲れ様。今日もがんばったね。,,
◯,159,schedule,1100,-1,-1,none,none,none,unchanged,*時起こす,date_check,,,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
◯,160,schedule,1100,-1,-1,none,none,none,unchanged,*分起こす,date_check,,,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
◯,161,schedule,1100,-1,-1,none,none,none,unchanged,*秒起こす,date_check,,,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
◯,162,schedule,1100,-1,-1,none,none,none,unchanged,*時*分*秒に起こして,date_check,,,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
◯,163,schedule,1100,-1,-1,none,none,none,unchanged,*時*分に起こす,date_check,,,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
◯,164,schedule,1100,-1,-1,none,none,none,unchanged,*分*秒起こす,date_check,,,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
◯,165,schedule,1100,-1,-1,none,none,none,unchanged,*分後起こす,date_check,,,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
◯,166,schedule,1100,-1,-1,none,none,none,unchanged,*分とる起こす,date_check,,,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
◯,167,schedule,1100,-1,-1,none,none,none,unchanged,*分たつ起こす,date_check,,,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
◯,168,schedule,1100,-1,-1,none,none,none,unchanged,*分後教える,date_check,,,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
◯,169,schedule,1100,-1,-1,none,none,none,unchanged,*分とる教える,date_check,,,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
◯,170,schedule,1100,-1,-1,none,none,none,unchanged,*分たつ教える,date_check,,,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
◯,171,schedule,1100,-1,-1,none,none,none,unchanged,*秒後起こす,date_check,,,分かりました。時間になりましたら、お知らせ致します。,分かりました。時間になりましたら、お知らせ致します。,,
